央视频道,#genre#
CCTV1[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8
CCTV2[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8
CCTV3[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8
CCTV4[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8
CCTV5[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8
CCTV5+[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8
CCTV6[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8
CCTV7[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8
CCTV8[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8
CCTV9[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8
CCTV10[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8
CCTV11[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8
CCTV12[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8
CCTV13[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227509/index.m3u8
CCTV13[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227499/index.m3u8
CCTV13[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8
CCTV14[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8
CCTV15[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8
CCTV16[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227941/index.m3u8
CCTV17[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8

CETV1[1920*1080],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227339/index.m3u8
CETV2[785*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227940/index.m3u8
CETV4[785*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227337/index.m3u8


CGTN[768*576],http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227391/index.m3u8




