root@cpicb-t-k8s-m01:~# ss -ntlp
State             Recv-Q            Send-Q                       Local Address:Port                        Peer Address:Port           Process
LISTEN            0                 1000                          10.208.14.30:10250                            0.0.0.0:*               users:(("kubelet",pid=27235,fd=30))
LISTEN            0                 1000                          10.208.14.30:6443                             0.0.0.0:*               users:(("kube-apiserver",pid=904569,fd=7))
LISTEN            0                 1000                             127.0.0.1:2379                             0.0.0.0:*               users:(("etcd",pid=2766,fd=9))
LISTEN            0                 1000                          10.208.14.30:2379                             0.0.0.0:*               users:(("etcd",pid=2766,fd=8))
LISTEN            0                 1000                          10.208.14.30:2380                             0.0.0.0:*               users:(("etcd",pid=2766,fd=7))
LISTEN            0                 511                              127.0.0.1:6445                             0.0.0.0:*               users:(("nginx",pid=943751,fd=5),("nginx",pid=943750,fd=5),("nginx",pid=2980,fd=5))
LISTEN            0                 1000                             127.0.0.1:2381                             0.0.0.0:*               users:(("etcd",pid=2766,fd=14))
LISTEN            0                 4096                             127.0.0.1:41389                            0.0.0.0:*               users:(("containerd",pid=994,fd=15))
LISTEN            0                 1000                             127.0.0.1:10257                            0.0.0.0:*               users:(("kube-controller",pid=911193,fd=7))
LISTEN            0                 1000                             127.0.0.1:9234                             0.0.0.0:*               users:(("cilium-operator",pid=436527,fd=9))
LISTEN            0                 1000                             127.0.0.1:10259                            0.0.0.0:*               users:(("kube-scheduler",pid=911106,fd=7))
LISTEN            0                 1000                             127.0.0.1:9876                             0.0.0.0:*               users:(("cilium-agent",pid=932410,fd=39))
LISTEN            0                 1000                          10.208.14.30:3990                             0.0.0.0:*               users:(("kube-apiserver-",pid=904639,fd=3))
LISTEN            0                 128                                0.0.0.0:22                               0.0.0.0:*               users:(("sshd",pid=1165,fd=3))
LISTEN            0                 128                              127.0.0.1:631                              0.0.0.0:*               users:(("cupsd",pid=712262,fd=9))
LISTEN            0                 1000                          10.208.14.30:10423                            0.0.0.0:*               users:(("bashible-apiser",pid=906669,fd=7))
LISTEN            0                 2048                             127.0.0.1:38969                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=48))
LISTEN            0                 1000                             127.0.0.1:26203                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=69))
LISTEN            0                 2048                             127.0.0.1:30523                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=51))
LISTEN            0                 2048                             127.0.0.1:37531                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=7))
LISTEN            0                 2048                             127.0.0.1:33953                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=35))
LISTEN            0                 1000                             127.0.0.1:9890                             0.0.0.0:*               users:(("cilium-agent",pid=932410,fd=7))
LISTEN            0                 1000                             127.0.0.1:9891                             0.0.0.0:*               users:(("cilium-operator",pid=436527,fd=7))
LISTEN            0                 1000                             127.0.0.1:12579                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=78))
LISTEN            0                 1000                             127.0.0.1:9092                             0.0.0.0:*               users:(("cilium-agent",pid=932410,fd=42))
LISTEN            0                 2048                             127.0.0.1:45541                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=40))
LISTEN            0                 1000                             127.0.0.1:9094                             0.0.0.0:*               users:(("cilium-operator",pid=436527,fd=10))
LISTEN            0                 1000                          10.208.14.30:9734                             0.0.0.0:*               users:(("kube-rbac-proxy",pid=932504,fd=3))
LISTEN            0                 1000                          10.208.14.30:9735                             0.0.0.0:*               users:(("kube-rbac-proxy",pid=907267,fd=3))
LISTEN            0                 2048                             127.0.0.1:46855                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=45))
LISTEN            0                 1000                             127.0.0.1:10248                            0.0.0.0:*               users:(("kubelet",pid=27235,fd=29))
LISTEN            0                 1000                             127.0.0.1:23529                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=9))
LISTEN            0                 2048                             127.0.0.1:35401                            0.0.0.0:*               users:(("klnagent",pid=1081,fd=8))
LISTEN            0                 1000                                     *:4240                                   *:*               users:(("cilium-agent",pid=932410,fd=52))
LISTEN            0                 1000                                     *:10256                                  *:*               users:(("cilium-agent",pid=932410,fd=41))
LISTEN            0                 128                                   [::]:22                                  [::]:*               users:(("sshd",pid=1165,fd=4))
LISTEN            0                 128                                  [::1]:631                                 [::]:*               users:(("cupsd",pid=712262,fd=7))
LISTEN            0                 1000                                     *:26269                                  *:*               users:(("cilium-agent",pid=932410,fd=21))
LISTEN            0                 4096                                     *:10050                                  *:*               users:(("zabbix_agent2",pid=992,fd=8))
