root@MacBook:~# launchctl list
PID	Status	Label
-	0	com.apple.storedownloadd.daemon
-	-9	com.apple.CoreAuthentication.daemon
173	0	com.apple.coreservicesd
-	0	com.apple.touchbarserver
873	0	com.apple.deleted_helper
-	0	com.apple.avbdeviced
330	0	com.apple.cvmsServ
-	0	com.apple.FontWorker
-	0	com.apple.applessdstatistics
1579	0	com.apple.hdiejectd
-	0	com.apple.corestorage.corestoraged
852	0	com.apple.storagekitd
-	0	com.apple.EmbeddedOSInstallService
-	0	com.apple.storereceiptinstaller
-	0	com.apple.mobileactivationd
-	0	com.apple.seld
-	0	com.apple.emond
896	0	com.apple.iconservices.iconservicesagent
-	0	com.apple.logkextloadsd
-	0	com.apple.bluetoothReporter
86	0	com.apple.syslogd
172	0	com.apple.WindowServer
-	1	com.lsreset
-	0	com.apple.NetworkSharing
-	0	com.apple.afpfs_checkafp
-	0	com.apple.systemstats.microstackshot_periodic
-	0	com.apple.AppleFileServer
138	0	com.apple.securityd
139	0	com.apple.auditd
271	0	com.apple.nesessionmanager
753	-9	NetworkExtension.com.objective-see.lulu.extension
-	0	com.apple.cfnetwork.cfnetworkagent
-	0	com.apple.recoverylogd
961	-9	com.apple.ocspd
231	0	com.apple.symptomsd
144	0	com.apple.autofsd
-	0	com.BlueStacks.AppPlayer.bstservice_helper
87	0	com.apple.UserEventAgent-System
-	0	com.apple.Kerberos.kadmind
363	0	com.apple.coresymbolicationd
-	0	com.apple.PerfPowerServicesExtended
766	0	com.apple.suhelperd
-	0	com.apple.commerced
-	0	com.apple.RFBEventHelper
-	0	com.apple.racoon
-	0	com.apple.bosreporter
170	0	com.apple.loginwindow.42DBC294-B91F-4827-B4D4-1A4292D9D441
-	0	com.apple.metadata.mds.scan
163	0	com.apple.AirPlayXPCHelper
93	0	com.apple.mediaremoted
-	0	com.apple.mbusertrampoline
-	0	com.apple.RemoteDesktop.PrivilegeProxy
-	0	com.apple.datastored
98	0	com.disc-soft.DAEMONTools.DAEMONToolsService
-	0	com.apple.sysdiagnose
888	0	com.apple.installd
887	0	com.apple.system_installd
-	0	com.apple.dvdplayback.setregion
-	0	com.apple.SafeEjectGPUStartupDaemon
202	0	com.apple.nehelper
-	0	com.apple.boswatcher
106	0	com.apple.logd
-	0	org.cindori.TEAuth
331	0	com.apple.tccd.system
-	0	com.apple.accessoryd
-	0	com.apple.appleseed.fbahelperd
-	0	com.apple.IFCStart
-	0	com.apple.mdmclient.daemon
510	0	com.apple.ctkd
200	0	com.apple.icloud.searchpartyd
-	0	com.apple.fpsd.arcadeservice
-	0	com.apple.xpc.roleaccountd
